Etc/GMT+12(GMT -12:00) Etc/GMT+12
(GMT -11:00) Pacific/Samoa
(GMT -11:00) Pacific/Pago_Pago
(GMT -11:00) Pacific/Niue
(GMT -11:00) Pacific/Midway
(GMT -11:00) US/Samoa
(GMT -11:00) Etc/GMT+11
(GMT -10:00) Pacific/Johnston
(GMT -10:00) America/Atka
(GMT -10:00) US/Aleutian
(GMT -10:00) Pacific/Honolulu
(GMT -10:00) US/Hawaii
(GMT -10:00) America/Adak
(GMT -10:00) Pacific/Tahiti
(GMT -10:00) Etc/GMT+10
(GMT -10:00) HST
(GMT -10:00) Pacific/Rarotonga
(GMT -09:30) Pacific/Marquesas
(GMT -09:00) Pacific/Gambier
(GMT -09:00) America/Anchorage
(GMT -09:00) America/Nome
(GMT -09:00) US/Alaska
(GMT -09:00) Etc/GMT+9
(GMT -09:00) America/Juneau
(GMT -09:00) America/Yakutat
(GMT -09:00) America/Sitka
(GMT -08:00) Mexico/BajaNorte
(GMT -08:00) America/Dawson
(GMT -08:00) Pacific/Pitcairn
(GMT -08:00) America/Metlakatla
(GMT -08:00) Etc/GMT+8
(GMT -08:00) PST8PDT
 America/Santa_Isabel(GMT -08:00) America/Santa_Isabel
 Canada/Pacific(GMT -08:00) Canada/Pacific
 US/Pacific(GMT -08:00) US/Pacific
 US/Pacific-New(GMT -08:00) US/Pacific-New
 Canada/Yukon(GMT -08:00) Canada/Yukon
 America/Whitehorse(GMT -08:00) America/Whitehorse
 America/Vancouver(GMT -08:00) America/Vancouver
 America/Ensenada(GMT -08:00) America/Ensenada
 America/Tijuana(GMT -08:00) America/Tijuana
 America/Los_Angeles(GMT -08:00) America/Los_Angeles
 Etc/GMT+7(GMT -07:00) Etc/GMT+7
 America/Hermosillo(GMT -07:00) America/Hermosillo
 America/Yellowknife(GMT -07:00) America/Yellowknife
 America/Phoenix(GMT -07:00) America/Phoenix
 Navajo(GMT -07:00) Navajo
 Canada/Mountain(GMT -07:00) Canada/Mountain
 America/Boise(GMT -07:00) America/Boise
 America/Ojinaga(GMT -07:00) America/Ojinaga
 America/Cambridge_Bay(GMT -07:00) America/Cambridge_Bay
 Mexico/BajaSur(GMT -07:00) Mexico/BajaSur
 America/Shiprock(GMT -07:00) America/Shiprock
 US/Arizona(GMT -07:00) US/Arizona
 MST7MDT(GMT -07:00) MST7MDT
 MST(GMT -07:00) MST
 US/Mountain(GMT -07:00) US/Mountain
 America/Chihuahua(GMT -07:00) America/Chihuahua
 America/Edmonton(GMT -07:00) America/Edmonton
 America/Creston(GMT -07:00) America/Creston
 America/Inuvik(GMT -07:00) America/Inuvik
 America/Mazatlan(GMT -07:00) America/Mazatlan
 America/Dawson_Creek(GMT -07:00) America/Dawson_Creek
 America/Denver(GMT -07:00) America/Denver
 Canada/Saskatchewan(GMT -06:00) Canada/Saskatchewan
 America/Tegucigalpa(GMT -06:00) America/Tegucigalpa
 America/El_Salvador(GMT -06:00) America/El_Salvador
 America/Chicago(GMT -06:00) America/Chicago
 America/Swift_Current(GMT -06:00) America/Swift_Current
 America/Winnipeg(GMT -06:00) America/Winnipeg
 America/Cancun(GMT -06:00) America/Cancun
 America/Belize(GMT -06:00) America/Belize
 America/Resolute(GMT -06:00) America/Resolute
 America/Regina(GMT -06:00) America/Regina
 America/Guatemala(GMT -06:00) America/Guatemala
 America/Rankin_Inlet(GMT -06:00) America/Rankin_Inlet
 America/Rainy_River(GMT -06:00) America/Rainy_River
